State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±),Population Percentage - Black,Population Percentage - Hispanic/Latino
Ohio,Butler County,Metro area,10.10%,0.60%,,
North Carolina,Carteret County,Small town,10.10%,1.20%,,
Minnesota,Red Lake County,Rural area,10.10%,2.20%,,
New York,Essex County,Rural area,10.10%,1.40%,,
California,Mendocino County,Small town,10.10%,1.10%,,
Pennsylvania,Northampton County,Metro area,10.10%,0.60%,,
South Dakota,Gregory County,Rural area,10.10%,2.50%,,
Illinois,Henry County,Metro area,10.10%,1.50%,,
Kansas,Brown County,Rural area,10.00%,1.90%,,
Alaska,Yakutat City and Borough,Rural area,10.00%,3.90%,,
Michigan,Marquette County,Small town,10.00%,0.90%,,
North Carolina,New Hanover County,Metro area,10.00%,0.70%,,
Maine,Hancock County,Rural area,10.00%,1.00%,,
Utah,Iron County,Small town,10.00%,2.00%,,
Nebraska,Gage County,Small town,10.00%,1.70%,,
Nebraska,Nance County,Rural area,10.00%,3.80%,,
Alabama,Limestone County,Metro area,10.00%,1.30%,,
Michigan,Huron County,Rural area,10.00%,1.00%,,
Iowa,Clayton County,Rural area,10.00%,1.40%,,
Illinois,Champaign County,Metro area,10.00%,0.90%,,
Colorado,Phillips County,Rural area,10.00%,4.10%,,
Florida,Walton County,Metro area,10.00%,1.60%,,
Oklahoma,Pawnee County,Metro area,10.00%,1.30%,,
Texas,Loving County,Rural area,10.00%,12.60%,,
Virginia,Culpeper County,Metro area,10.00%,1.70%,,
Florida,Santa Rosa County,Metro area,10.00%,1.00%,,
Iowa,Worth County,Small town,10.00%,2.00%,,
Michigan,Iron County,Rural area,10.00%,1.60%,,
Michigan,Presque Isle County,Rural area,10.00%,1.50%,,
Oklahoma,Love County,Rural area,10.00%,2.10%,,
Oklahoma,Custer County,Small town,10.00%,2.40%,,
Minnesota,St. Louis County,Metro area,10.00%,0.50%,,
Pennsylvania,Perry County,Metro area,10.00%,1.20%,,
Kansas,Anderson County,Rural area,10.00%,3.60%,,
Nevada,Washoe County,Metro area,10.00%,0.50%,,
Pennsylvania,Elk County,Small town,10.00%,1.50%,,
Colorado,Cheyenne County,Rural area,9.90%,4.40%,,
Kentucky,Franklin County,Small town,9.90%,1.40%,,
Missouri,Perry County,Rural area,9.90%,2.40%,,
Oklahoma,Garvin County,Rural area,9.90%,1.10%,,
Kentucky,Anderson County,Small town,9.90%,2.40%,,
Iowa,Scott County,Metro area,9.90%,0.80%,,
Florida,Brevard County,Metro area,9.90%,0.40%,,
Kansas,Reno County,Small town,9.90%,1.20%,,
Maryland,St. Mary's County,Metro area,9.90%,1.20%,,
Iowa,Poweshiek County,Rural area,9.90%,2.20%,,
Texas,Comanche County,Rural area,9.90%,3.00%,,
Georgia,Henry County,Metro area,9.90%,1.00%,,
Minnesota,Cottonwood County,Rural area,9.90%,1.90%,,
Georgia,Pike County,Metro area,9.90%,2.40%,,
Wisconsin,Lafayette County,Rural area,9.90%,1.20%,,
Iowa,Louisa County,Rural area,9.90%,2.20%,,
Wisconsin,Columbia County,Metro area,9.90%,1.30%,,
Idaho,Minidoka County,Small town,9.90%,2.70%,,
Maine,Knox County,Rural area,9.90%,1.60%,,
North Carolina,Jackson County,Small town,9.90%,1.80%,,
Texas,Johnson County,Metro area,9.80%,0.90%,,
Wisconsin,Polk County,Rural area,9.80%,0.80%,,
Texas,Kerr County,Small town,9.80%,1.50%,,
Massachusetts,Plymouth County,Metro area,9.80%,0.50%,,
California,Yolo County,Metro area,9.80%,0.80%,,
Alabama,St. Clair County,Metro area,9.80%,1.30%,,
Florida,Palm Beach County,Metro area,9.80%,0.30%,,
Mississippi,Itawamba County,Small town,9.80%,2.10%,,
South Carolina,Berkeley County,Metro area,9.80%,0.80%,,
California,Modoc County,Rural area,9.80%,3.50%,,
Georgia,White County,Rural area,9.80%,2.30%,,
Oregon,Clackamas County,Metro area,9.80%,0.60%,,
Wisconsin,Chippewa County,Metro area,9.80%,1.30%,,
New York,Orange County,Metro area,9.80%,0.50%,,
Florida,Alachua County,Metro area,9.80%,0.60%,,
Pennsylvania,Snyder County,Small town,9.80%,1.20%,,
Montana,Granite County,Rural area,9.80%,4.10%,,
Texas,Mitchell County,Rural area,9.80%,4.40%,,
Texas,Tom Green County,Metro area,9.80%,1.00%,,
West Virginia,Putnam County,Metro area,9.80%,1.50%,,
Utah,Piute County,Rural area,9.80%,4.00%,,
Washington,Snohomish County,Metro area,9.80%,0.40%,,
South Dakota,Brule County,Rural area,9.80%,2.80%,,
Washington,Chelan County,Metro area,9.80%,1.40%,,
Florida,Clay County,Metro area,9.80%,0.90%,,
Utah,Grand County,Rural area,9.80%,4.80%,,
Missouri,Cape Girardeau County,Metro area,9.80%,1.10%,,
Florida,Nassau County,Metro area,9.80%,1.20%,,
Michigan,Antrim County,Rural area,9.70%,1.30%,,
Arizona,Coconino County,Metro area,9.70%,0.80%,,
Alaska,Kenai Peninsula Borough,Rural area,9.70%,1.20%,,
Texas,Parmer County,Rural area,9.70%,2.70%,,
Pennsylvania,Montour County,Metro area,9.70%,2.30%,,
Tennessee,Cheatham County,Metro area,9.70%,1.70%,,
Iowa,Kossuth County,Rural area,9.70%,1.70%,,
Wisconsin,Lincoln County,Small town,9.70%,1.30%,,
Pennsylvania,Susquehanna County,Rural area,9.70%,0.80%,,
Missouri,Nodaway County,Small town,9.70%,2.10%,,
West Virginia,Monongalia County,Metro area,9.70%,1.20%,,
Nebraska,Douglas County,Metro area,9.70%,0.40%,,
Maryland,Worcester County,Metro area,9.70%,1.20%,,
Virginia,Isle of Wight County,Metro area,9.70%,1.40%,,
South Carolina,Pickens County,Metro area,9.70%,1.00%,,
Illinois,Washington County,Rural area,9.70%,1.60%,,
Wisconsin,Waupaca County,Rural area,9.70%,1.10%,,
Idaho,Kootenai County,Metro area,9.70%,1.00%,,
Texas,Lipscomb County,Rural area,9.60%,3.30%,,
Iowa,Shelby County,Rural area,9.60%,2.70%,,
Nebraska,Deuel County,Rural area,9.60%,4.40%,,
Minnesota,Carlton County,Metro area,9.60%,1.50%,,
Texas,Howard County,Small town,9.60%,2.00%,,
Illinois,Schuyler County,Rural area,9.60%,3.10%,,
Ohio,Carroll County,Metro area,9.60%,1.80%,,
Minnesota,Itasca County,Small town,9.60%,1.10%,,
South Dakota,Yankton County,Small town,9.60%,2.10%,,
Kansas,Finney County,Small town,9.60%,1.70%,,
Utah,Wayne County,Rural area,9.60%,3.70%,,
North Dakota,McHenry County,Small town,9.60%,2.00%,,
Missouri,Macon County,Rural area,9.60%,1.80%,,
Virginia,Nelson County,Metro area,9.60%,3.40%,,
Ohio,Preble County,Rural area,9.60%,1.30%,,
Minnesota,Wilkin County,Small town,9.60%,2.80%,,
Washington,Whitman County,Small town,9.60%,1.30%,,
Georgia,Dawson County,Metro area,9.60%,2.50%,,
Iowa,Ida County,Rural area,9.60%,2.00%,,
North Dakota,Bottineau County,Rural area,9.60%,2.00%,,
Texas,Wise County,Metro area,9.60%,1.50%,,
Texas,Mason County,Rural area,9.60%,5.00%,,
Kansas,Logan County,Rural area,9.50%,4.90%,,
Missouri,Johnson County,Small town,9.50%,1.40%,,
Ohio,Paulding County,Rural area,9.50%,1.60%,,
Maryland,Baltimore County,Metro area,9.50%,0.40%,,
Georgia,Union County,Rural area,9.50%,1.90%,,
Georgia,Towns County,Rural area,9.50%,2.70%,,
Kentucky,Gallatin County,Metro area,9.50%,2.60%,,
Illinois,McLean County,Metro area,9.50%,0.80%,,
Wisconsin,Shawano County,Small town,9.50%,1.00%,,
Kentucky,Fayette County,Metro area,9.50%,0.50%,,
Missouri,Franklin County,Metro area,9.50%,1.10%,,
Minnesota,Kanabec County,Rural area,9.50%,1.30%,,
Nebraska,Colfax County,Rural area,9.50%,3.80%,,
Illinois,Grundy County,Metro area,9.50%,1.40%,,
Ohio,Ashland County,Small town,9.50%,1.30%,,
Oklahoma,Logan County,Metro area,9.50%,1.60%,,
Alabama,Blount County,Metro area,9.50%,1.30%,,
Wisconsin,Dodge County,Small town,9.50%,0.90%,,
Indiana,Wabash County,Small town,9.50%,1.50%,,
Illinois,Ogle County,Small town,9.50%,1.30%,,
Iowa,Cherokee County,Rural area,9.50%,2.80%,,
Virginia,Manassas city,Metro area,9.50%,2.00%,,
Michigan,Eaton County,Metro area,9.50%,0.80%,,
Virginia,Lancaster County,Rural area,9.50%,2.90%,,
New York,Ontario County,Metro area,9.50%,0.80%,,
Virginia,Amherst County,Metro area,9.50%,1.40%,,
Ohio,Morrow County,Metro area,9.40%,1.70%,,
Iowa,Allamakee County,Rural area,9.40%,2.30%,,
Missouri,Audrain County,Small town,9.40%,1.40%,,
Iowa,Osceola County,Rural area,9.40%,2.60%,,
Oklahoma,Ellis County,Rural area,9.40%,2.70%,,
Idaho,Fremont County,Small town,9.40%,2.10%,,
Nebraska,Dawson County,Small town,9.40%,2.10%,,
Missouri,Lewis County,Small town,9.40%,2.40%,,
Arizona,Maricopa County,Metro area,9.40%,0.20%,,
Texas,Jack County,Rural area,9.40%,2.50%,,
Nebraska,Jefferson County,Rural area,9.40%,2.50%,,
Missouri,Adair County,Small town,9.40%,2.10%,,
Minnesota,Stearns County,Metro area,9.40%,0.70%,,
Indiana,Clinton County,Small town,9.30%,1.60%,,
Georgia,Hall County,Metro area,9.30%,0.80%,,
Iowa,Hamilton County,Rural area,9.30%,2.40%,,
Ohio,Ottawa County,Small town,9.30%,1.20%,,
Georgia,Catoosa County,Metro area,9.30%,1.70%,,
Kentucky,Kenton County,Metro area,9.30%,0.70%,,
Colorado,El Paso County,Metro area,9.30%,0.40%,,
Maryland,Prince George's County,Metro area,9.30%,0.30%,,
Montana,Toole County,Rural area,9.30%,4.10%,,
Hawaii,Maui County,Metro area,9.30%,1.00%,,
North Carolina,Polk County,Rural area,9.30%,1.80%,,
California,Riverside County,Metro area,9.30%,0.20%,,
Texas,Briscoe County,Rural area,9.30%,4.20%,,
Tennessee,Moore County,Small town,9.30%,3.50%,,
California,Tuolumne County,Small town,9.30%,1.60%,,
South Dakota,Codington County,Small town,9.30%,1.60%,,
Iowa,Calhoun County,Rural area,9.30%,1.70%,,
Indiana,Shelby County,Metro area,9.30%,1.40%,,
Arkansas,Faulkner County,Metro area,9.30%,1.10%,,
Delaware,New Castle County,Metro area,9.30%,0.40%,,
Mississippi,Carroll County,Small town,9.30%,3.40%,,
Oklahoma,Grant County,Rural area,9.30%,2.10%,,
Wisconsin,Clark County,Rural area,9.30%,0.90%,,
Wisconsin,Manitowoc County,Small town,9.30%,1.00%,,
Texas,Hutchinson County,Small town,9.30%,2.00%,,
Hawaii,Honolulu County,Metro area,9.30%,0.30%,,
Florida,Lee County,Metro area,9.30%,0.40%,,
Idaho,Bonner County,Small town,9.30%,1.30%,,
Kansas,Russell County,Rural area,9.30%,3.40%,,
Iowa,Dubuque County,Metro area,9.30%,0.80%,,
Virginia,Franklin County,Metro area,9.20%,1.50%,,
Minnesota,Aitkin County,Rural area,9.20%,1.10%,,
Iowa,Emmet County,Rural area,9.20%,2.10%,,
Missouri,Camden County,Rural area,9.20%,1.40%,,
South Dakota,Minnehaha County,Metro area,9.20%,0.70%,,
Florida,Manatee County,Metro area,9.20%,0.50%,,
Nebraska,Thayer County,Rural area,9.20%,2.20%,,
Montana,Rosebud County,Rural area,9.20%,2.20%,,
Colorado,Dolores County,Rural area,9.20%,4.40%,,
Texas,Dallam County,Rural area,9.20%,4.00%,,
Wisconsin,Taylor County,Rural area,9.20%,1.20%,,
Idaho,Gooding County,Rural area,9.20%,2.50%,,
Wisconsin,Green County,Metro area,9.20%,1.10%,,
Iowa,Warren County,Metro area,9.20%,1.50%,,
Colorado,Yuma County,Rural area,9.20%,2.90%,,
Missouri,Caldwell County,Metro area,9.20%,1.80%,,
Nevada,Lincoln County,Rural area,9.20%,4.90%,,
Wyoming,Fremont County,Small town,9.20%,1.00%,,
Kansas,Sumner County,Metro area,9.20%,1.50%,,
Virginia,Warren County,Metro area,9.20%,1.70%,,
Ohio,Wyandot County,Rural area,9.20%,1.60%,,
Minnesota,Kandiyohi County,Small town,9.10%,1.40%,,
Iowa,Linn County,Metro area,9.10%,0.50%,,
Hawaii,Kauai County,Small town,9.10%,1.20%,,
South Dakota,Sanborn County,Rural area,9.10%,2.80%,,
Iowa,Buchanan County,Rural area,9.10%,1.70%,,
Idaho,Oneida County,Rural area,9.10%,3.20%,,
Minnesota,Swift County,Rural area,9.10%,2.20%,,
Iowa,Taylor County,Rural area,9.10%,1.70%,,
Illinois,Shelby County,Rural area,9.10%,1.80%,,
Iowa,Wright County,Rural area,9.10%,2.00%,,
Rhode Island,Newport County,Metro area,9.10%,1.20%,,
Oregon,Washington County,Metro area,9.10%,0.50%,,
Georgia,Fannin County,Rural area,9.10%,2.30%,,
Georgia,Lee County,Metro area,9.10%,2.20%,,
Pennsylvania,Butler County,Metro area,9.10%,0.70%,,
Indiana,Martin County,Rural area,9.10%,2.40%,,
South Carolina,Greenville County,Metro area,9.00%,0.50%,,
Ohio,Greene County,Metro area,9.00%,0.70%,,
Tennessee,Sumner County,Metro area,9.00%,0.80%,,
Nebraska,Webster County,Rural area,9.00%,2.30%,,
Wisconsin,Winnebago County,Metro area,9.00%,0.70%,,
Illinois,Will County,Metro area,9.00%,0.40%,,
Minnesota,Freeborn County,Small town,9.00%,1.30%,,
Kansas,Saline County,Small town,9.00%,1.50%,,
Missouri,Pulaski County,Small town,9.00%,1.90%,,
North Carolina,Currituck County,Metro area,9.00%,2.00%,,
North Carolina,Mecklenburg County,Metro area,9.00%,0.30%,,
Minnesota,Pipestone County,Rural area,9.00%,1.90%,,
Texas,San Saba County,Rural area,9.00%,3.20%,,
Georgia,Paulding County,Metro area,9.00%,1.30%,,
Texas,Erath County,Small town,9.00%,1.80%,,
Indiana,DeKalb County,Small town,9.00%,1.40%,,
Texas,Burleson County,Metro area,9.00%,2.50%,,
Montana,Park County,Rural area,9.00%,2.10%,,
Wisconsin,Sheboygan County,Metro area,9.00%,0.90%,,
Indiana,Montgomery County,Small town,9.00%,1.20%,,
Missouri,Stone County,Small town,8.90%,1.80%,,
Colorado,Lake County,Rural area,8.90%,4.60%,,
Indiana,Cass County,Small town,8.90%,1.30%,,
Illinois,Mercer County,Metro area,8.90%,1.50%,,
Colorado,Adams County,Metro area,8.90%,0.50%,,
North Carolina,Davie County,Metro area,8.90%,1.60%,,
Wisconsin,Grant County,Small town,8.90%,1.00%,,
North Carolina,Cabarrus County,Metro area,8.90%,0.90%,,
Oklahoma,Rogers County,Metro area,8.90%,0.60%,,
Wisconsin,Fond du Lac County,Metro area,8.90%,0.90%,,
Florida,Indian River County,Metro area,8.90%,0.80%,,
Virginia,Charlottesville city,Metro area,8.90%,1.60%,,
Missouri,Ray County,Metro area,8.90%,1.80%,,
Florida,Flagler County,Metro area,8.90%,1.00%,,
California,Santa Cruz County,Metro area,8.90%,0.90%,,
Maine,Sagadahoc County,Metro area,8.80%,1.80%,,
Virginia,Rockbridge County,Rural area,8.80%,1.90%,,
New York,Tompkins County,Metro area,8.80%,1.00%,,
Kansas,Kiowa County,Rural area,8.80%,2.80%,,
Ohio,Miami County,Metro area,8.80%,1.10%,,
Iowa,Muscatine County,Small town,8.80%,1.20%,,
Massachusetts,Hampshire County,Metro area,8.80%,0.70%,,
Indiana,Jasper County,Metro area,8.80%,1.50%,,
Montana,Fergus County,Rural area,8.80%,2.80%,,
Alaska,Anchorage Municipality,Metro area,8.80%,0.60%,,
New York,Yates County,Metro area,8.80%,1.40%,,
Wisconsin,Jefferson County,Small town,8.80%,0.90%,,
Indiana,Perry County,Rural area,8.80%,1.80%,,
Georgia,Coweta County,Metro area,8.80%,1.00%,,
South Dakota,Clay County,Small town,8.80%,2.50%,,
New Hampshire,Sullivan County,Small town,8.80%,1.70%,,
Colorado,Washington County,Rural area,8.80%,2.70%,,
Texas,Callahan County,Metro area,8.80%,1.90%,,
Missouri,Monroe County,Rural area,8.80%,1.80%,,
Idaho,Clearwater County,Rural area,8.70%,1.90%,,
South Dakota,Tripp County,Rural area,8.70%,3.00%,,
California,Los Angeles County,Metro area,8.70%,0.10%,,
Missouri,Linn County,Rural area,8.70%,1.80%,,
Nevada,Storey County,Metro area,8.70%,4.50%,,
Nebraska,Saline County,Rural area,8.70%,3.00%,,
Minnesota,Hubbard County,Rural area,8.70%,1.10%,,
Indiana,Rush County,Rural area,8.70%,2.10%,,
Montana,Flathead County,Small town,8.70%,0.90%,,
Montana,Wheatland County,Rural area,8.70%,4.50%,,
New York,Westchester County,Metro area,8.70%,0.30%,,
Oklahoma,Noble County,Rural area,8.70%,2.20%,,
Indiana,Dearborn County,Metro area,8.70%,1.40%,,
Oklahoma,Payne County,Small town,8.70%,1.30%,,
Utah,Weber County,Metro area,8.70%,0.70%,,
Pennsylvania,Lancaster County,Metro area,8.70%,0.40%,,
Missouri,Boone County,Metro area,8.70%,0.80%,,
Missouri,Chariton County,Rural area,8.70%,1.50%,,
California,San Benito County,Metro area,8.70%,1.40%,,
Texas,Concho County,Rural area,8.70%,3.70%,,
South Dakota,Turner County,Metro area,8.70%,1.60%,,
Tennessee,Rutherford County,Metro area,8.70%,0.70%,,
Montana,Beaverhead County,Rural area,8.60%,2.30%,,
North Carolina,Chatham County,Metro area,8.60%,1.30%,,
New York,Dutchess County,Metro area,8.60%,0.60%,,
North Carolina,Buncombe County,Metro area,8.60%,0.60%,,
Colorado,Teller County,Metro area,8.60%,1.90%,,
Wisconsin,Brown County,Metro area,8.60%,0.60%,,
Kansas,Franklin County,Small town,8.60%,2.00%,,
Colorado,Moffat County,Small town,8.60%,2.40%,,
Wisconsin,Iowa County,Metro area,8.60%,1.60%,,
Minnesota,Martin County,Small town,8.60%,1.70%,,
Virginia,Mathews County,Metro area,8.60%,4.00%,,
Arizona,Yavapai County,Metro area,8.60%,0.80%,,
Connecticut,Fairfield County,Metro area,8.60%,0.30%,,
Michigan,Charlevoix County,Rural area,8.60%,1.30%,,
Arizona,Greenlee County,Rural area,8.60%,2.60%,,
New York,Hamilton County,Rural area,8.60%,2.80%,,
Missouri,Christian County,Metro area,8.60%,1.10%,,
Florida,Seminole County,Metro area,8.60%,0.40%,,
Wisconsin,Oconto County,Metro area,8.50%,1.00%,,
Connecticut,Middlesex County,Metro area,8.50%,0.80%,,
Alaska,Southeast Fairbanks Census Area,Rural area,8.50%,2.30%,,
Tennessee,Loudon County,Metro area,8.50%,1.70%,,
Washington,Jefferson County,Rural area,8.50%,1.60%,,
Ohio,Darke County,Small town,8.50%,1.10%,,
Ohio,Fulton County,Metro area,8.50%,1.20%,,
Iowa,Jones County,Metro area,8.50%,1.80%,,
Kansas,Coffey County,Rural area,8.50%,2.10%,,
South Dakota,Fall River County,Rural area,8.50%,3.80%,,
North Carolina,Moore County,Small town,8.50%,1.10%,,
Iowa,Mills County,Metro area,8.50%,2.30%,,
Georgia,Effingham County,Metro area,8.50%,1.30%,,
Nebraska,Franklin County,Rural area,8.50%,2.30%,,
Washington,King County,Metro area,8.50%,0.20%,,
Oklahoma,Cimarron County,Rural area,8.50%,2.90%,,
Florida,Okaloosa County,Metro area,8.50%,0.80%,,
California,Solano County,Metro area,8.50%,0.50%,,
Nebraska,Dundy County,Rural area,8.50%,3.10%,,
Louisiana,Cameron Parish,Metro area,8.50%,4.70%,,
Montana,Lewis and Clark County,Small town,8.50%,1.20%,,
Kentucky,Marshall County,Rural area,8.50%,1.60%,,
Minnesota,Hennepin County,Metro area,8.50%,0.30%,,
Oklahoma,Cleveland County,Metro area,8.50%,0.60%,,
Florida,Charlotte County,Metro area,8.50%,0.70%,,
Oklahoma,McClain County,Metro area,8.50%,1.40%,,
Indiana,Huntington County,Small town,8.50%,1.50%,,
Vermont,Chittenden County,Metro area,8.50%,0.70%,,
Ohio,Hancock County,Small town,8.50%,1.20%,,
New Jersey,Mercer County,Metro area,8.40%,0.60%,,
Missouri,Ste. Genevieve County,Rural area,8.40%,2.10%,,
South Carolina,York County,Metro area,8.40%,0.60%,,
Arkansas,Calhoun County,Small town,8.40%,3.00%,,
Georgia,Dade County,Metro area,8.40%,2.20%,,
Indiana,Bartholomew County,Metro area,8.40%,1.10%,,
Texas,Bosque County,Rural area,8.40%,1.70%,,
Utah,Sanpete County,Rural area,8.40%,1.60%,,
Wisconsin,Marathon County,Metro area,8.40%,0.70%,,
Minnesota,Pennington County,Rural area,8.40%,1.80%,,
Wyoming,Hot Springs County,Rural area,8.40%,3.40%,,
Texas,Pecos County,Rural area,8.40%,2.90%,,
Texas,Hemphill County,Rural area,8.40%,4.70%,,
Nevada,White Pine County,Rural area,8.40%,2.90%,,
Texas,Austin County,Metro area,8.40%,1.90%,,
Michigan,Grand Traverse County,Small town,8.40%,1.00%,,
Arkansas,Baxter County,Small town,8.40%,1.20%,,
Virginia,King and Queen County,Rural area,8.40%,3.10%,,
Missouri,Worth County,Rural area,8.40%,2.70%,,
Wisconsin,La Crosse County,Metro area,8.40%,0.90%,,
Mississippi,DeSoto County,Metro area,8.40%,0.80%,,
Kansas,Dickinson County,Rural area,8.40%,1.50%,,
North Dakota,Ramsey County,Rural area,8.40%,2.80%,,
Vermont,Addison County,Rural area,8.40%,1.00%,,
Iowa,Boone County,Small town,8.40%,2.00%,,
Kansas,Linn County,Metro area,8.40%,2.20%,,
Indiana,Pike County,Small town,8.30%,1.70%,,
Illinois,Lake County,Metro area,8.30%,0.30%,,
Iowa,Audubon County,Rural area,8.30%,2.20%,,
Virginia,New Kent County,Metro area,8.30%,2.70%,,
North Carolina,Camden County,Small town,8.30%,2.80%,,
Washington,Garfield County,Rural area,8.30%,4.30%,,
Utah,Millard County,Rural area,8.30%,2.20%,,
Vermont,Grand Isle County,Metro area,8.30%,2.20%,,
Indiana,Putnam County,Metro area,8.30%,1.50%,,
Georgia,Bryan County,Metro area,8.30%,2.00%,,
Texas,Brazos County,Metro area,8.30%,0.70%,,
Wisconsin,Buffalo County,Rural area,8.30%,1.40%,,
Missouri,St. Louis County,Metro area,8.30%,0.30%,,
Nebraska,Johnson County,Rural area,8.30%,2.10%,,
Indiana,Decatur County,Small town,8.30%,1.80%,,
South Dakota,Bon Homme County,Rural area,8.30%,2.60%,,
Texas,Coke County,Rural area,8.30%,2.90%,,
Virginia,Floyd County,Metro area,8.30%,2.30%,,
Iowa,Guthrie County,Metro area,8.30%,1.40%,,
Minnesota,Lincoln County,Rural area,8.30%,1.60%,,
Wisconsin,Portage County,Small town,8.30%,1.00%,,
Colorado,Denver County,Metro area,8.30%,0.30%,,
Kansas,Osborne County,Rural area,8.30%,2.70%,,
Iowa,O'Brien County,Rural area,8.30%,2.00%,,
Arkansas,Cleburne County,Rural area,8.20%,1.80%,,
Nebraska,Kimball County,Rural area,8.20%,2.80%,,
Iowa,Tama County,Rural area,8.20%,1.60%,,
Iowa,Sac County,Rural area,8.20%,1.70%,,
Alaska,Juneau City and Borough,Small town,8.20%,1.60%,,
North Dakota,Richland County,Small town,8.20%,2.20%,,
Wisconsin,Vernon County,Rural area,8.20%,0.80%,,
Maine,Cumberland County,Metro area,8.20%,0.50%,,
Iowa,Benton County,Metro area,8.20%,1.50%,,
Texas,Crockett County,Rural area,8.20%,6.10%,,
Nebraska,Burt County,Rural area,8.20%,2.30%,,
Texas,Chambers County,Metro area,8.20%,1.90%,,
Minnesota,Lyon County,Small town,8.20%,1.10%,,
Missouri,Gentry County,Rural area,8.20%,2.10%,,
Nebraska,Knox County,Rural area,8.20%,1.60%,,
Rhode Island,Bristol County,Metro area,8.20%,1.40%,,
Kansas,Rush County,Rural area,8.20%,2.60%,,
Illinois,Henderson County,Small town,8.20%,2.00%,,
Kansas,Kearny County,Small town,8.20%,4.60%,,
Tennessee,Wilson County,Metro area,8.20%,0.90%,,
Virginia,Greene County,Metro area,8.10%,2.30%,,
Kansas,Ford County,Small town,8.10%,2.00%,,
Indiana,Daviess County,Small town,8.10%,1.60%,,
Indiana,Jennings County,Small town,8.10%,1.80%,,
Texas,Kimble County,Rural area,8.10%,2.80%,,
Utah,Emery County,Rural area,8.10%,2.00%,,
Missouri,Cole County,Metro area,8.10%,1.10%,,
North Dakota,Grand Forks County,Metro area,8.10%,1.20%,,
Minnesota,Yellow Medicine County,Rural area,8.10%,1.80%,,
Indiana,Elkhart County,Metro area,8.10%,0.90%,,
Iowa,Washington County,Metro area,8.10%,1.50%,,
Idaho,Idaho County,Rural area,8.10%,1.70%,,
Texas,Archer County,Metro area,8.10%,2.70%,,
Wyoming,Niobrara County,Rural area,8.10%,5.00%,,
Kansas,Shawnee County,Metro area,8.10%,0.80%,,
Ohio,Clermont County,Metro area,8.10%,0.60%,,
Missouri,Atchison County,Rural area,8.10%,1.80%,,
Nevada,Humboldt County,Small town,8.10%,2.20%,,
New Hampshire,Strafford County,Metro area,8.10%,0.90%,,
Minnesota,Watonwan County,Rural area,8.10%,1.90%,,
Kansas,Cloud County,Rural area,8.10%,3.20%,,
Wisconsin,Pepin County,Rural area,8.00%,1.50%,,
Idaho,Bear Lake County,Rural area,8.00%,2.50%,,
Colorado,Rio Blanco County,Rural area,8.00%,2.60%,,
South Carolina,Charleston County,Metro area,8.00%,0.50%,,
Utah,Tooele County,Metro area,8.00%,1.30%,,
Virginia,King George County,Rural area,8.00%,2.00%,,
Kansas,Lyon County,Small town,8.00%,1.50%,,
New Hampshire,Merrimack County,Small town,8.00%,0.80%,,
Nebraska,Otoe County,Rural area,8.00%,2.10%,,
Minnesota,Meeker County,Rural area,8.00%,1.30%,,
South Dakota,Hughes County,Small town,8.00%,2.30%,,
Michigan,Emmet County,Rural area,8.00%,1.00%,,
Louisiana,St. Tammany Parish,Metro area,8.00%,0.80%,,
North Dakota,Stutsman County,Small town,8.00%,2.40%,,
Iowa,Franklin County,Rural area,8.00%,2.60%,,
California,Santa Barbara County,Metro area,8.00%,0.50%,,
Texas,Lavaca County,Rural area,8.00%,1.60%,,
Nebraska,Morrill County,Rural area,8.00%,2.00%,,
Virginia,Staunton city,Metro area,8.00%,1.60%,,
Nebraska,Merrick County,Metro area,8.00%,2.80%,,
Illinois,Kendall County,Metro area,8.00%,1.30%,,
Illinois,Clinton County,Metro area,8.00%,1.40%,,
Idaho,Butte County,Metro area,8.00%,3.30%,,
Missouri,DeKalb County,Metro area,8.00%,2.90%,,
Kentucky,Campbell County,Metro area,8.00%,0.90%,,
Michigan,Keweenaw County,Small town,8.00%,3.00%,,
Indiana,Spencer County,Rural area,7.90%,1.30%,,
Nebraska,Lancaster County,Metro area,7.90%,0.60%,,
Minnesota,Nicollet County,Metro area,7.90%,1.30%,,
Texas,Ellis County,Metro area,7.90%,0.80%,,
Virginia,Lexington city,Rural area,7.90%,4.30%,,
South Dakota,Meade County,Metro area,7.90%,1.90%,,
Virginia,Madison County,Rural area,7.90%,2.70%,,
Nebraska,Antelope County,Rural area,7.90%,2.00%,,
Iowa,Hardin County,Rural area,7.90%,1.50%,,
New Jersey,Union County,Metro area,7.90%,0.50%,,
Oklahoma,Harper County,Rural area,7.90%,4.50%,,
Ohio,Henry County,Rural area,7.90%,1.60%,,
New Hampshire,Belknap County,Small town,7.90%,1.10%,,
California,Inyo County,Rural area,7.90%,1.60%,,
Minnesota,Blue Earth County,Metro area,7.90%,1.10%,,
Indiana,Gibson County,Rural area,7.80%,1.30%,,
Idaho,Caribou County,Rural area,7.80%,3.00%,,
Wisconsin,Trempealeau County,Rural area,7.80%,0.80%,,
Utah,Box Elder County,Metro area,7.80%,1.40%,,
Indiana,Monroe County,Metro area,7.80%,0.80%,,
Indiana,Morgan County,Metro area,7.80%,1.00%,,
Indiana,Noble County,Small town,7.80%,1.40%,,
Texas,Bandera County,Metro area,7.80%,2.50%,,
